date,bukovel,yaremche,period
2016-01-03,100,29,Old
2016-01-10,83,23,Old
2016-01-17,68,21,Old
2016-01-24,66,22,Old
2016-01-31,62,20,Old
2016-02-07,52,20,Old
2016-02-14,46,18,Old
2016-02-21,48,18,Old
2016-02-28,46,15,Old
2016-03-06,42,14,Old
2016-03-13,46,18,Old
2016-03-20,36,15,Old
2016-03-27,27,17,Old
2016-04-03,17,17,Old
2016-04-10,13,14,Old
2016-04-17,13,17,Old
2016-04-24,11,17,Old
2016-05-01,15,26,Old
2016-05-08,13,21,Old
2016-05-15,12,20,Old
2016-05-22,17,22,Old
2016-05-29,20,31,Old
2016-06-05,28,35,Old
2016-06-12,24,36,Old
2016-06-19,29,45,Old
2016-06-26,38,48,Old
2016-07-03,34,52,Old
2016-07-10,39,45,Old
2016-07-17,38,46,Old
2016-07-24,40,51,Old
2016-07-31,39,47,Old
2016-08-07,36,47,Old
2016-08-14,31,42,Old
2016-08-21,27,33,Old
2016-08-28,27,25,Old
2016-09-04,22,26,Old
2016-09-11,23,39,Old
2016-09-18,24,24,Old
2016-09-25,23,21,Old
2016-10-02,43,25,Old
2016-10-09,36,25,Old
2016-10-16,31,23,Old
2016-10-23,34,20,Old
2016-10-30,45,19,Old
2016-11-06,44,19,Old
2016-11-13,78,22,Old
2016-11-20,62,21,Old
2016-11-27,80,21,Old
2016-12-04,72,23,Old
2016-12-11,70,20,Old
2016-12-18,67,22,Old
2016-12-25,71,23,Old
2017-01-01,90,34,Old
2017-01-08,77,28,Old
2017-01-15,65,22,Old
2017-01-22,52,20,Old
2017-01-29,53,27,Old
2025-01-05,90,29,New
2025-01-12,75,27,New
2025-01-19,62,22,New
2025-01-26,49,21,New
2025-02-02,60,19,New
2025-02-09,52,19,New
2025-02-16,48,16,New
2025-02-23,36,17,New
2025-03-02,27,15,New
2025-03-09,22,16,New
2025-03-16,25,18,New
2025-03-23,23,21,New
2025-03-30,19,17,New
2025-04-06,23,17,New
2025-04-13,17,18,New
2025-04-20,17,22,New
2025-04-27,22,26,New
2025-05-04,21,29,New
2025-05-11,20,25,New
2025-05-18,23,32,New
2025-05-25,21,33,New
2025-06-01,29,41,New
2025-06-08,32,46,New
2025-06-15,39,48,New
2025-06-22,44,55,New
2025-06-29,44,57,New
2025-07-06,56,64,New
2025-07-13,48,58,New
2025-07-20,54,57,New
2025-07-27,50,58,New
2025-08-03,56,60,New
2025-08-10,50,56,New
2025-08-17,49,48,New
2025-08-24,40,42,New
2025-08-31,29,34,New
2025-09-07,32,36,New
2025-09-14,31,36,New
2025-09-21,30,36,New
2025-09-28,29,28,New
2025-10-05,27,28,New
2025-10-12,33,29,New
2025-10-19,36,31,New
2025-10-26,43,35,New
2025-11-02,38,25,New
2025-11-09,36,24,New
2025-11-16,41,22,New
2025-11-23,42,25,New
2025-11-30,43,23,New
2025-12-07,40,23,New
2025-12-14,49,25,New
2025-12-21,57,27,New
2025-12-28,98,34,New
2026-01-04,100,38,New
2026-01-11,79,27,New
2026-01-18,74,23,New
2026-01-25,67,21,New
